speaker,gender,pitch,n,kept
ls-1116,female,194.23240707325346,12,1
ls-4852,male,194.20372153138834,10,1
ls-5756,female,194.24603790032984,12,1
ls-4267,male,194.73173436817223,12,1
ls-6818,female,194.6881531377113,12,0
ls-6084,male,195.80450027980498,12,1
ls-5731,female,195.82577775402046,12,1
ls-8226,male,195.8421540123288,12,1
ls-887,female,195.8636806691914,12,0
ls-168,male,201.10052007874094,12,1
ls-6627,female,201.09708631565348,12,0
ls-1492,male,202.61483250852666,12,1
ls-1006,female,202.583173298252,12,0
ls-7976,male,211.47808064915142,6,1
ls-4957,female,211.52069080436098,12,0
ls-6636,male,212.66908957440364,12,1
ls-2775,female,212.7793528999415,12,0
ls-7105,male,228.7648120815163,3,1
ls-6227,female,228.8459306564184,12,0
ls-1780,male,235.70680571398378,12,1
ls-2582,female,235.84697163269854,12,0
ls-4020,male,242.408461441411,12,1
ls-6544,female,242.46631843374703,12,0
