speaker,gender,n_clips,f0,f1,f2,f3,f4
ls-149,male,4,152.8115636150351,729.8648127576554,1886.184113340692,2820.522699152478,3821.492531005957
ls-1492,male,4,194.79042335424668,442.2008836294825,1642.000706312091,2626.900996547675,3682.851255065846
ls-1495,male,4,166.6579459425767,459.6245972758784,1473.6517038580378,2812.6887657541765,3628.54612412071
ls-150,female,1,178.35693141896343,557.9002248322537,1830.9998047501215,3001.084471709313,3842.3709083093736
ls-1502,female,4,176.02163331279053,381.4939970658319,1640.2199004551576,2842.4770974446733,3961.0192750813517
ls-1513,male,4,171.16651252356564,435.13378577309254,1638.4001198202836,2513.7011362430344,3521.944666295476
ls-152,male,4,147.327371911924,486.5767957773157,1476.6722040180011,2578.6664613727653,3797.631486704091
ls-1547,female,3,174.4844261858044,434.6454186680288,1752.935526924733,2842.7282364453736,3756.4230827270517
ls-1552,male,2,142.02984550767033,450.0893960827422,1688.8614334207762,2808.247319158031,4192.747679181628
ls-1553,female,3,164.62992587096363,523.5517672042712,1721.8245065547437,2734.689288509097,3832.8531520447764
ls-1556,male,4,143.66756114799085,503.231002090597,1664.3383797792317,2693.142382566423,3761.165931026123
ls-1563,female,4,111.51963789462724,654.8115226586356,1854.5978460774152,2858.3551397592155,4125.310617841919
ls-1564,female,3,176.34857837351043,451.6224886386968,1698.9631295607292,2735.450497053183,3991.2749041933735
ls-1572,male,4,153.06426319323418,471.5689074967107,1478.416457898059,2535.7331384851905,3762.693979614517
ls-1578,female,3,171.47815802614238,471.43099103065623,1759.797631568941,3029.3150478771304,4032.242186616216
ls-1579,female,4,170.50439080102882,659.5184874891082,1621.262055263227,2699.181924383018,3598.1767261094255
ls-159,male,4,142.71043959700913,541.0121263638089,2022.1291672615164,2869.2163825881926,3933.688662622751
ls-1594,male,1,142.68955219226783,691.2527959409123,1722.091276488072,2752.651564377442,3765.0697175417604
ls-1595,male,4,170.12283706715075,380.23837397611464,1664.7943547653076,2630.7177337510693,3762.503889723349
ls-161,male,4,146.46722095310972,465.4773405584844,1523.8104902970872,2695.8991747391847,3769.3675381071535
ls-1614,male,4,151.22574562990826,474.8243299445742,1697.0715478636298,2642.8363656252914,3761.3617010216344
ls-1621,male,1,143.48492890899834,355.005098690873,1571.1852667756025,2646.8260918820247,3835.1983999988133
ls-1624,male,3,144.1743719889169,421.74034097316706,1860.5070950764125,2735.734414728799,3864.8781683825373
ls-1629,female,4,174.28153145181113,494.1939430559089,1716.623606588288,2925.0573282292835,3987.65125404299
ls-1653,female,4,170.24067914243653,311.902537299176,2060.2173588265537,3207.62957282762,3975.0557324374176
ls-1664,female,3,165.79507644639472,515.8914712436855,1753.2863852493078,2727.7174050856515,3835.1675107321767
ls-1674,female,2,175.49552916056865,395.1933665557034,1645.6108716495714,2791.015130393334,4161.311380255169
ls-1679,female,4,170.4888898170567,426.3870614726274,1757.024640901608,2706.931602394295,3832.3439063900337
ls-168,male,4,220.89994566904383,482.22755661147994,1774.605826766006,3001.906474317502,4257.053346665009
ls-1693,female,4,164.99394717486894,532.8509212462799,1562.865797556954,2566.5140060239582,3736.8152607105894
ls-1695,female,4,171.75918395324481,443.2871925715699,1730.9810300107815,2935.1044984860496,3938.8672523635023
ls-1704,female,4,176.2272586689794,489.16143862235197,1661.9087400041367,2964.8737619777758,3938.253548241585
ls-1705,female,4,172.72340721290166,433.6054497489748,1819.3164180173042,2729.2036374403215,4098.507310955884
ls-1708,male,4,159.01683998978237,426.4821416030734,1610.2904439775612,3019.6466880379103,3875.91655627845
ls-1714,female,4,165.13946703570883,560.7602157185381,1709.9969252403816,2711.929578872875,3616.858448268621
ls-1721,female,4,167.7467044745429,423.1736231127893,1775.8833728932805,3086.8060765990076,4165.067067289861
ls-1724,female,4,178.095053613027,404.15936518545755,1691.7675201998732,2849.21558763376,4117.071242656731
ls-1734,female,4,156.01912670192252,390.65676959975787,1645.8850070519047,2939.7376145274106,4022.221485329147
ls-1736,female,4,162.09220876165156,487.8431032740388,1779.006651772046,2875.8444582531547,4037.9806718908044
ls-1737,female,1,61.147362817838,835.2488206311942,2412.997759837745,3174.503870447191,4329.387598860151
ls-1743,male,4,165.76015779075436,449.8279147171776,1537.393860404176,2564.8229724742255,3634.5741693166
ls-1746,male,3,152.61604048072036,524.1852148288982,1557.4863894143634,2703.8427138248762,3681.176699522385
ls-1757,female,4,177.53582248004278,475.5132111299438,1583.5350780376566,2584.0504412544597,3955.048284204003
ls-176,male,4,153.45288261054918,426.6100661966258,1565.6506016942592,2576.2306390156264,3787.5544827506583
ls-1765,female,4,169.66992238165847,580.8458184146598,1713.9450218468842,2875.52574087313,3970.6065262134434
ls-177,female,2,166.24460838819743,501.5956927004707,1544.5062922165444,2551.8023678042055,3716.2572407372368
ls-1772,male,4,154.2173545068705,670.0961782855044,1742.3448186117575,2887.494064984001,3908.767665224811
ls-1780,male,4,230.8605975502914,407.9445631647727,1844.5590670584427,2864.150476225468,3993.1102016863015
ls-1784,female,1,177.2374602991166,424.660448695782,1758.190346377311,2838.9055274253515,4118.793267505399
ls-1789,male,1,145.72558139653003,361.0865020389095,1508.1992414027845,2519.6395207426267,3451.7777100011967
ls-1800,female,4,61.13638524149195,945.6478683145904,2148.8664818158395,3029.438364263062,4152.52325983066
ls-1806,male,4,147.0464758651886,484.38934710499507,1618.790167854837,2652.1356967170245,3891.369202914757
ls-1809,female,4,174.80383199064215,428.0522090899961,1534.8549504276539,2748.054083288306,3843.2123038348536
ls-1815,male,1,149.22284564007805,712.3679869791976,1916.9436577976328,2867.048988365265,3829.429923143549
ls-1826,male,4,153.95891771320646,537.4862659550138,1653.2410891609672,2701.4901836211257,3750.8401684648743
ls-1841,female,1,177.8608385786378,535.2064989793982,1763.2866649901016,2937.5327177072004,3694.1998329155217
ls-1844,male,4,145.5606493331558,438.200006286249,1769.110697484245,2690.1653749062384,3699.29258451812
ls-1845,female,4,155.1751398907221,461.4845945316035,1771.1357751901219,2799.1600596454637,4093.1861434503458
ls-1867,male,4,158.76290341006398,587.7317596097369,1748.7496319433328,2803.4354474712554,3732.378545731819
ls-1868,male,1,141.7450551177989,465.7270891398401,1990.2540817030451,2767.2891019551626,3635.263715354191
ls-1870,male,1,147.17986327929864,502.7606118677984,1700.651498804822,2710.6498670135297,3965.902106437286
ls-1878,male,3,141.7317488333111,507.85909479861635,1681.032339173275,2507.4431289045115,3871.8146235668974
ls-188,female,1,179.90023104543513,502.6582386310007,1755.2053098228782,2933.738470215155,4069.8235611986847
ls-1898,female,1,168.28588141211415,804.8833165995701,1774.8035757879175,2689.6163932016493,3683.0430770623284
ls-19,female,2,178.34222779152748,539.0841812975334,1702.3956081659524,2664.452456797708,3834.9066001523447
ls-1903,male,2,150.91318238369195,423.1010906491899,1582.5574344084225,2634.974519935337,3548.632657311835
ls-192,female,4,165.87090085222584,418.0822211057556,1658.2971278584432,2753.7594664788094,3931.177173066111
ls-1920,female,2,178.23238871995164,450.46222163586685,1620.5133138629913,2896.995907502129,3910.4126003636434
ls-1923,female,4,172.94012250387962,731.8667361838316,1756.775630683945,2630.0367630535748,3698.3105229086204
ls-1933,female,4,139.1393073738708,444.4557373499257,1523.914541007688,2901.83978264989,4027.144179098328
ls-1938,male,4,155.01657097131704,358.16036322705736,1653.048492702068,2581.696442744392,3895.1240722021093
ls-1943,male,4,153.13297481053974,562.954538002955,1675.0472493004183,2554.246468860025,3311.3635968195576
ls-1958,male,4,155.1643997876238,424.57062155215806,1686.3510121819302,2753.4302084482015,3792.5344757638854
ls-1961,female,4,172.7018966015948,464.36501907347497,1707.995472677551,2718.283716481006,4110.4279154976475
ls-1963,female,4,168.85447190368043,548.6472350560888,1816.4210888806738,2725.691940584369,3812.7992444166543
ls-1974,female,4,164.47321403164426,565.2282978450351,1740.9665786399428,2819.1854814437074,3723.489071403406
ls-1989,male,4,160.11975752700067,433.0155083599126,1671.387218134364,2717.2982227273824,3712.7932817778938
ls-199,female,3,175.49718119176592,518.4229316354454,1873.3642881331625,2760.480100003716,3869.6208361993868
ls-1992,female,1,179.9219269654867,380.86290582831225,1706.7962081999658,2856.838131475449,4129.7145508328285
ls-20,female,1,172.04239511359697,370.23741409190586,1845.0160497568168,2829.384278452758,3983.4775680449907
ls-2002,male,1,140.13744481664446,439.2904470519612,1483.8856640441286,2488.2757797307704,3636.871549468833
ls-2010,female,4,158.40978531459817,452.4716416846094,1663.209396864856,2734.742647953963,4039.863111189446
ls-202,female,1,173.49240152993542,446.6731050727214,1590.116692665645,2860.5797848589987,3805.725478892414
ls-2026,female,1,177.9381927539044,476.0567492549659,1634.4384868073412,3051.092139201941,3915.26108360249
ls-2045,male,3,141.2122942543178,385.0158443257161,1687.6187746130308,2755.492265642613,3729.9376653284794
ls-205,female,4,171.1076774974969,585.7196385901045,1696.4935801322933,2611.1231108285924,3663.89502701915
ls-2050,female,4,157.06616837929693,411.3018008922918,1689.3712762194095,2937.2046550698014,3982.2094997858585
ls-2051,male,4,144.89960101884756,415.12048774924494,1658.7360589918103,2546.7152816823163,3632.9873660400826
ls-2053,female,4,102.16167867412202,385.023694106692,1628.6681342802358,2829.2711433224695,3633.130850800212
ls-2056,female,4,167.739426506303,442.2183392486669,1760.8784479177573,2804.883002902698,3899.4032236419052
ls-2060,female,4,158.88036526778453,475.9199696157087,1704.5321559446506,2694.8553155342206,3657.23048210289
ls-2061,female,4,173.1282539080687,372.3540689218352,1714.8716955648451,2870.613148500292,4049.68398963482
ls-2062,female,4,175.8225638891031,405.37993328014704,1891.903033303611,3002.1986016677174,4005.0075099727087
ls-2074,male,4,150.38680471316826,355.98606666779824,1567.9699522058527,2561.756149651034,4197.100695658725
ls-2085,female,4,160.4283259895314,484.19997851713975,1612.9695867447354,2817.717734413941,4037.2857586086475
ls-209,female,4,168.91134449481285,498.1930171708809,1844.6648234373547,2853.0166062035028,3838.607962450182
ls-2090,female,1,176.8110044865668,490.4908801335203,1589.7972448891517,2748.725994416761,3897.523612263589
ls-2092,female,4,176.37968735911153,472.1909157150737,1694.8139458562077,2870.548347081868,3857.600448732311
ls-2093,male,1,157.35281658233234,568.3412660810145,1523.8273988265141,2610.730139685226,3586.601673899625
ls-2096,male,4,161.31701789205204,419.6562762262884,1588.132892973849,2636.81368303603,3632.0327435229096
ls-2104,male,2,145.43974661419645,409.1324465545496,1664.4940083244483,2505.894219174006,3689.8018445542693
ls-2110,male,4,154.21150415464865,462.88329867181585,1640.1608092584822,2673.2581452101554,3526.16018533598
ls-2136,male,1,149.96219687992206,398.1416081081603,1648.627760395337,2607.857844367867,3665.6039722655396
ls-2140,male,3,153.8539619754915,386.5271430995541,1261.1054152991044,2681.0644774097964,3582.8668897500443
ls-2149,male,4,154.3132481215136,501.03117960196397,1701.8233311110912,2427.239283185383,3774.567214996472
ls-2167,male,2,142.54528217793592,412.68327203196526,1550.5879831164602,2802.903084677532,3944.8508069065037
ls-218,male,4,154.3319593678995,419.9210778652328,1603.5915893742326,2647.981405069074,3937.5861467014106
ls-2182,female,4,172.6335756035642,466.3709725814517,1720.4651243519675,2855.1373298370154,3986.45085027038
ls-2195,male,1,145.34120491647425,475.09786962126196,1645.9413036295678,2713.5210369322276,3681.8490634759564
ls-22,female,4,174.4134902102675,504.7553205235341,1752.4487830735375,2767.359585258866,3791.333975677745
ls-2204,female,4,157.6994831115072,465.20948911782347,1745.1786628342593,2970.135279070363,4028.1772210934596
ls-2230,female,3,173.89808572464432,695.14982443011,1618.3311320758696,2669.7563396898922,3871.570170716332
ls-2234,male,2,142.83084190004763,443.666687420781,1541.2602833503886,2596.41392761466,3665.351489172177
ls-2238,male,4,148.1575757408538,399.1869959661974,1631.5670350059627,2667.887520485874,3498.033382576114
ls-2240,male,4,163.28431355352936,454.02196103092143,1681.1601171860543,2353.4597493232177,3259.2177603061573
ls-2246,male,2,141.99659515876687,439.2921029932138,1789.9689453714486,2678.3958788613845,3688.804958857161
ls-225,female,4,151.66784586450427,482.84197821921816,1762.0762626750593,3004.487689386957,3958.0289706006197
ls-2256,female,4,148.27899378189568,290.692737980585,1818.2251496742492,2905.2872170213805,3793.1288433646487
ls-2262,male,4,174.7902397160013,459.50510741288406,1593.2383852152066,2701.3195577488386,3766.4624261750005
ls-2269,female,2,171.68063214201965,470.5656935147093,1574.0049731759837,2856.942405321962,3737.585223061767
ls-2276,female,4,167.91622156593604,415.7327521508145,1904.718354016206,2916.597179276504,3872.1118593721894
ls-2284,male,1,148.5791280850364,437.83952658379116,1639.2529858012765,2587.6203365275082,3814.390343393222
ls-2288,female,4,144.1619841229703,314.94724475822335,1617.3170731994305,2762.3793585591475,4321.286832804821
ls-229,male,4,146.80128248023885,461.88076688909655,1467.286780188505,2433.4677974205965,3745.0042450395295
ls-2292,male,4,144.99101953832368,485.7744200458734,1674.6396312567322,2233.201642826616,3727.687772651503
ls-2299,male,1,144.8761123889888,425.68483247031514,1686.1547752655867,2485.234755716345,3769.979976257294
ls-23,female,1,171.54955655272323,577.8253408530804,1907.972510073958,2937.944306875104,4082.3356084508155
ls-2301,female,4,163.64937509871493,506.7033742493399,1804.5642223436955,3145.12314672993,4182.862547684586
ls-231,male,4,186.58465783949526,399.16456634643345,1574.3787658732563,2533.651394606327,3567.7197733220046
ls-2319,male,1,162.44156380929695,356.3760955668487,1444.5556385962645,2428.4940103353742,3708.5846665060435
ls-233,male,4,151.45157739861725,520.8144575603568,1616.7848073854902,2650.895499741089,3539.688906221133
ls-2356,male,2,142.3607409813668,450.9288690918715,1566.826094541393,2758.058366434866,3736.4038762833625
ls-2364,female,4,168.02613189036572,472.0245380559794,1820.648368247431,3003.415451506874,4019.9979291203426
ls-2374,female,4,158.6425663126306,456.27959397760895,1794.8494671178419,2803.738010966226,4140.724669554727
ls-2380,male,4,169.1502682247105,483.1663841348437,1482.130404449908,2380.1480369374503,3104.600225591616
ls-2391,female,1,172.90581199051718,453.55359889093813,1738.5568547728462,2782.56139675617,3810.250974564638
ls-2393,male,4,157.21849976408203,535.1212974747356,1563.1599509144098,2755.301802296236,3555.674897798992
ls-240,male,4,140.9089798333623,416.09229689135094,1508.6899864493287,2604.9935760710096,3674.470943627236
ls-2401,female,4,175.38142649557022,507.9940764483444,1754.8762385100156,2863.728435040128,3769.0815537441295
ls-2405,male,1,140.48356120650863,361.33591156976024,1196.35968923799,2560.327111788867,3673.994562855868
ls-2407,male,3,167.4807834223173,492.6611379676466,1475.0501450747647,2573.169589612837,3477.9703083432646
ls-2416,female,4,170.65788091730758,536.1097270694324,1654.5752341804082,2773.7735623339695,3751.0647373362094
ls-243,female,2,165.40009398667286,497.85667819403386,1707.3816038324812,2812.502203011947,4097.901912806924
ls-2445,female,2,173.40176567367018,453.92713693357734,1746.4631489466508,2788.3639792756485,4074.944386826285
ls-2448,male,2,148.20120080612242,419.8115041360599,1726.64048747761,2895.5162088012753,3675.40706329415
ls-246,female,1,179.14378257142175,516.9230248762735,1851.9649800221468,2877.437469731639,3990.2002433584435
ls-2481,female,4,175.81893387106783,657.6591386623345,1630.0779720909045,2749.831601082765,4032.3342272699856
ls-2488,female,4,149.2751290187308,400.0687834429832,1631.9336340598722,2787.8093623417008,3919.4454783134065
ls-2491,male,1,171.30531646512148,493.0098537169864,1579.2232497804448,2755.9797361365654,4151.819212376453
ls-2498,female,4,176.71856337117737,563.086207554835,1800.1126946402853,3060.4269900590916,3897.9069734441982
ls-2499,male,4,167.23362605154833,442.69643606156535,1553.5314554836027,2346.444160508977,3697.192797945382
ls-25,male,4,160.07329832218716,533.6627032903773,1589.6727883407743,2636.0980350829714,3456.124014945979
ls-250,female,4,174.52240527001658,522.5520121844633,1626.832190275431,2820.217205109746,3950.3819555908317
ls-2517,male,4,147.31994959301127,469.6232620362899,1525.74246756322,2639.9520369294887,3504.6021750514747
ls-2526,male,1,148.7510765879543,370.4148177104065,1634.7303673327472,2571.703979312773,3765.3468173190404
ls-2533,male,4,174.6236392775184,1038.2896691757805,2129.9776218503266,3232.9042801714777,4209.379504889113
ls-2552,male,4,152.21034203164197,454.76212982326535,1587.294693623297,2552.2166834699037,3506.117493617292
ls-2553,female,4,171.31961110134483,564.7606553827918,1580.7227885324162,2704.9658953545904,3748.2599876064705
ls-2570,female,2,177.45629044408585,562.9442046622905,1530.7598181398134,2753.3888727941107,3945.5466632200814
ls-2573,female,4,172.2513170760021,585.4463459238159,1808.3924630740485,2849.1192250984686,3723.407506856799
ls-2574,male,1,182.63404567423402,800.7690999227104,1393.3610726430243,2462.9074650219404,3218.386988762342
ls-2581,female,4,151.9778200764614,604.4396020024308,1655.0102250865032,2707.0380005288002,3662.379486373225
ls-2588,male,4,147.1167729836,468.4411005804946,1700.7906767704935,2755.1651800307463,3839.35396364518
ls-2598,female,3,172.70008273903912,461.9500200350017,1554.5461767486513,2785.986349141278,3879.3694959624477
ls-2606,male,1,156.80086529197436,581.1436819091339,1760.7891707369174,2702.497446625444,3867.208798848427
ls-2607,female,4,172.06760834140482,411.2346376353362,1792.2172799447915,2952.0245538812624,4247.845821161184
ls-2618,male,4,157.01812275739098,411.7512087416395,1563.2788174638767,2621.3400428026134,3806.053636312778
ls-2624,male,3,157.84825454011818,368.97055573608804,1643.4622999143992,2744.284742615677,3832.0607458066506
ls-263,male,1,141.56507489388312,702.2959839545547,1699.6867571984478,2549.475471540137,3583.7499769723904
ls-2638,female,4,160.20332528549113,501.73528566110383,1610.9753697866454,2593.3793200409536,3986.074506715817
ls-264,male,1,155.21898880987905,457.9084870249171,1910.5545706998628,2838.2588251285324,3796.9667432012398
ls-265,male,4,172.8186782266023,526.6837823571298,1756.175397448963,2953.5050201986396,4000.1621815306635
ls-2652,female,3,175.60431522881706,482.915425642491,1628.057242736372,2704.841108803198,3695.168036188568
ls-2676,female,1,116.08699761410173,572.9430594530268,1753.940329635382,2909.3248908004357,3907.181156531275
ls-2691,female,4,151.6477896924041,449.5218602845746,1677.9922935661343,2664.743821820367,4107.674577992355
ls-2694,female,4,174.517099119747,509.5830615224247,1659.001417435091,2627.7525765078253,3865.651544162176
ls-2696,male,4,148.74351565273417,542.1507334503889,1716.4426235807348,2615.5016192734965,3789.893616135131
ls-2709,female,2,178.47602472566558,517.0207207043816,1794.7202518213608,2724.7674033705543,3797.943344010666
ls-274,female,4,168.88540116319382,441.2778853295836,1674.0175483725434,3034.6303210732376,3969.3741146088423
ls-2748,female,4,143.2104572948991,393.95553843805726,1512.2365673629006,2750.6268798305227,3864.9147565263465
ls-2751,female,4,175.28825869367867,584.1158289688537,1856.2455143473778,2837.5994131770576,3868.5862935889745
ls-2762,female,4,174.30317636977213,516.9294339591763,1823.549838586273,3050.3862105490903,4061.538741378047
ls-2769,male,1,142.00173060175777,446.120243465537,1539.3117944483429,2596.283932495517,3541.985329606495
ls-2785,female,4,175.54069835682893,529.0093704991841,1821.4518919748907,3092.231195410591,4104.043882627794
ls-2787,male,1,142.10882461123674,405.43785937676796,1791.7445810966544,2689.3778392673976,3638.760183402128
ls-2790,female,1,168.35244866298422,582.4417897217911,1649.1139097883747,2445.729938585693,3594.7869801334955
ls-2792,female,4,159.05008255697248,420.251946394799,1747.4421171417366,2820.7517730373975,3930.4766055804866
ls-28,female,4,157.12695365377596,462.693653909075,1864.0520327172794,3031.3490926476115,4092.487921265217
ls-2812,male,1,140.12534103204618,485.1512509741738,1544.0984240376183,2572.4621315981944,3673.8621218085505
ls-2823,male,1,147.90510782038973,467.7858144057425,1540.7722212772715,2417.1456505373726,3740.3451284521884
ls-2834,female,2,174.09881083096553,498.0630482136981,1795.8699062390801,2813.8365043262497,3831.816605572838
ls-2853,female,2,174.2339701904707,495.69131855187015,1634.5940621592918,2752.375003894699,3805.8295368928575
ls-2854,male,4,147.82791348812617,438.16194546622336,1598.2326573614482,2673.126007599981,3667.4723278731803
ls-288,female,4,171.71949264990354,576.242574068489,1688.9181190935215,2602.966310010998,3415.785974491194
